level	headword	pos	en	vi	soat
B2	pitch	noun	(geology) Pitchstone.		
B2	pitch	noun	(music, phonetics) The perceived frequency of a sound, note or electromagnetic wave.		
B2	pitch	noun	(music) In an a cappella group, the singer responsible for singing a note for the other members to tune themselves by.		
B2	pitch	noun	(music) The standard to which a group of musical instruments are tuned or in which a piece is performed, usually by reference to the frequency to which the musical note A above middle C is tuned.		
B2	pitch	noun	A dark, extremely viscous material still remaining after distilling crude oil or natural tar.		
B2	pitch	noun	A sticky, gummy substance secreted by trees; sap.		
B2	pitch	noun	A throw; a toss; a cast, as of something from the hand.		
B2	pitch	noun	An effort to sell or promote something.		
B2	pitch	noun	The angle at which an object sits.		
B2	pitch	noun	The distance between evenly spaced objects, e.g. the teeth of a saw or gear, the turns of a screw thread, the centres of holes, or letters in a monospace font.		
B2	pitch	verb	(intransitive) To produce a note of a given pitch.		
B2	pitch	verb	(transitive) To deliver in a certain tone or style, or with a certain audience in mind.		
B2	pitch	verb	(transitive) To fix or set the tone of.		
B2	pitch	verb	(transitive) To promote, advertise, or attempt to sell.		
B2	pitch	verb	(transitive) To throw away; discard.		
B2	pitch	verb	(transitive) To throw.		
B2	pitch	verb	To cover or smear with pitch.		
B2	pitch	verb	To darken; to blacken; to obscure.		
B2	policeman	noun	(chemistry) A glass rod capped at one end with rubber, used in a chemistry laboratory for gravimetric analysis.		
B2	policeman	noun	(entomology) Any skipper of the genus Coeliades.		
B2	policeman	noun	(ice hockey) Synonym of enforcer.		
B2	policeman	noun	(law enforcement) A police officer, usually a male.		
B2	pope	noun	(alcoholic beverages) Any mulled wine (traditionally including tokay) considered similar and superior to bishop.		
B2	pope	noun	(British) The ruffe, a small Eurasian freshwater fish (Gymnocephalus cernua); others of its genus.		
B2	pope	noun	(Coptic Orthodoxy) An honorary title of the Coptic bishop of Alexandria as father and head of his church.		
B2	pope	noun	(Eastern Orthodoxy) An honorary title of the Orthodox bishop of Alexandria as father and head of his autocephalous church.		
B2	pope	noun	(Roman Catholicism and generally) An honorary title of the Roman Catholic bishop of Rome as father and head of his church, a sovereign of the Vatican city state.		
B2	pope	noun	(Russian Orthodoxy) Alternative form of pop, a Russian Orthodox priest.		
B2	pope	verb	(intransitive or with 'it') To act as or like a pope.		
B2	pope	verb	(intransitive, colloquial) To convert to Roman Catholicism.		
B2	prevent	verb	(transitive) To stop (an outcome); to keep from (doing something).		
B2	previous	adj	(informal) Premature; acting or occurring too soon.		
B2	previous	adj	(not comparable) Prior; occurring before something else, either in time or order.	qua	gloss mơ hồ, "qua" không tự đứng làm tính từ nghĩa "trước đó" (thường hậu vị: tuần qua), dễ nhầm với "qua" = đi qua
B2	previous	noun	(informal, UK) A record of previous hostility or conflict (between people).		
B2	previous	noun	(informal, UK) A track record of similar behaviour, especially bad behaviour.		
B2	previous	noun	(informal, UK) An existing criminal record (short for "previous convictions")		
B2	procedure	noun	(uncountable) The set of established forms or methods of an organized body for accomplishing a certain task or tasks.		
B2	procedure	noun	A particular method for performing a task.	phương pháp	ok
B2	procedure	noun	A series of small tasks or steps taken to accomplish an end.		
B2	procedure	noun	The steps taken in an action or other legal proceeding.		
B2	produce	noun	(Australia) Livestock and pet food supplies.		
B2	produce	noun	Harvested agricultural goods collectively, especially vegetables and fruit, but possibly including eggs, dairy products and meat; the saleable food products of farms.		
B2	produce	noun	Offspring.		
B2	produce	noun	That which is produced.		
B2	produce	verb	(intransitive) To make or yield something.		
B2	produce	verb	(transitive, media) To sponsor and present (a motion picture, etc) to an audience or to the public.		
B2	produce	verb	(transitive) To bring forth, to yield, make, manufacture, or otherwise generate.		
B2	produce	verb	(transitive) To make (a thing) available to a person, an authority, etc.; to provide for inspection.		
B2	pulse	noun	(figuratively) A beat or throb; also, a repeated sequence of such beats or throbs.		
B2	pulse	noun	(figuratively) The focus of energy or vigour of an activity, place, or thing; also, the feeling of bustle, busyness, or energy in a place; the heartbeat.		
B2	pulse	noun	(uncountable) Annual leguminous plants (such as beans, lentils, and peas) yielding grains or seeds used as food for humans or animals; (countable) such a plant; a legume.		
B2	pulse	noun	(uncountable) Edible grains or seeds from leguminous plants, especially in a mature, dry condition; (countable) a specific kind of such a grain or seed.		
B2	pulse	noun	A normally regular beat felt when arteries near the skin (for example, at the neck or wrist) are depressed, caused by the heart pumping blood through them; the qualitative nature of this beat.		
B2	pulse	noun	The rate of this beat as an indication of a person's health.		
B2	pulse	verb	(intransitive, chiefly figuratively and literary) To expand and contract repeatedly, like an artery when blood is flowing though it, or the heart; to beat, to throb, to vibrate, to pulsate.		
B2	pulse	verb	(transitive, also figuratively) To emit or impel (something) in pulses or waves.		
B2	pulse	verb	To apply an electric current or signal that varies in strength to (something).		
B2	pulse	verb	To manipulate (an electric current, electromagnetic wave, etc.) so that it is emitted in pulses.		
B2	punk	adj	(US, colloquial) Worthless, contemptible, particularly		
B2	punk	adj	Of or concerning punk rock or its associated subculture.		
B2	punk	noun	(countable, US, slang) A worthless person, particularly:		
B2	punk	noun	(countable) A follower of any of these movements, including:		
B2	punk	noun	(countable) A utensil for lighting wicks or fuses (such as those of fireworks) resembling stick incense.		
B2	punk	noun	(countable) One who engages in sexual intercourse, particularly:		
B2	punk	noun	(uncountable) A group of associated musical, artistic and social movements emerging out of the counterculture in the 1970s:		
B2	punk	noun	(uncountable) Any material used as tinder for lighting fires, such as agaric, dried wood, or touchwood, but especially wood altered by certain fungi.		
B2	punk	verb	(especially with "out") To give up or concede; to act like a wimp.		
B2	punk	verb	(slang, transitive) To forcibly perform anal sex upon (an unwilling partner).		
B2	punk	verb	(slang) To pimp.		
B2	punk	verb	(transitive, often with "out" or "up") To adapt or embellish in the style of the punk movement.		
B2	reasonable	adj	Just; fair; agreeable to reason.	hợp lí	ok
B2	reasonable	adj	Not excessive or immoderate; within due limits; proper.		
B2	reasonable	adj	Not expensive; fairly priced.		
B2	reasonable	adj	Satisfactory.		
B2	relief	adj	(of a surface) Characterized by surface inequalities.		
B2	relief	adj	Of or used in letterpress.		
B2	relief	noun	(countable) A sculpture or other artwork made with such a method.		
B2	relief	noun	(uncountable) A method of sculpture or other artwork in which shapes or figures protrude from a flat background.		
B2	relief	noun	Release from a post or duty, as when replaced by another.		
B2	relief	noun	The apparent difference in elevation in the surface of a painting or drawing made noticeable by a variation in light or color.		
B2	relief	noun	The difference of elevations on a surface.		
B2	relief	noun	The feeling associated with the removal of stress or discomfort.		
B2	relief	noun	The person who takes over a shift for another.		
B2	relief	noun	The removal of stress or discomfort.		
B2	represent	verb	(by extension) To present again, possibly in an altered form.		
B2	represent	verb	(medicine) To present again, for instance for medical attention.		
B2	represent	verb	(transitive) To portray by mimicry or acting; to act the part or character of		
B2	represent	verb	(transitive) To portray visually; to delineate		
B2	represent	verb	(transitive) To present again or anew; to present by means of something standing in the place of; to exhibit the counterpart or image of; to typify.		
B2	represent	verb	(transitive) To stand or act in the place of; to perform the duties, exercise the rights, or otherwise act on behalf of		
B2	research	noun	Careful and systematic study done to discover new facts.	nghiên cứu	ok
B2	resist	noun	A protective coating or covering.		
B2	resist	verb	(intransitive) To oppose; to refuse to accept.		
B2	resist	verb	(transitive) To attempt to counter the actions or effects of.		
B2	resist	verb	(transitive) To withstand the actions of.		
B2	respond	noun	(architecture) A half-pillar, pilaster, or any corresponding device engaged in a wall to receive the impost of an arch.		
B2	respond	noun	A response.		
B2	respond	noun	A versicle or short anthem chanted at intervals during the reading of a lection.		
B2	respond	verb	(ambitransitive) To correspond with; to suit.		
B2	respond	verb	(intransitive) To act in return; to carry out an action or in return to a force or stimulus; to do something in response.		
B2	respond	verb	(transitive, intransitive) To say something in return; to answer; to reply.		
B2	respond	verb	(transitive) To satisfy; to answer.		
B2	reveal	noun	(cinematography, narratology, comedy, usually informal) A revelation; an uncovering of what was hidden in the scene or story.		
B2	reveal	noun	The outer side of a window or door frame.		
B2	reveal	verb	(transitive) To communicate that which could not be known or discovered without divine or supernatural instruction.	mặc khải	ok
B2	reveal	verb	(transitive) To uncover; to show and display that which was hidden.	để lộ	ok
B2	rocket	noun	(countable) Any plant of the genus Eruca.		
B2	rocket	noun	(figurative) Figurative uses.		
B2	rocket	noun	(uncountable) A leaf vegetable of species Eruca sativa or Eruca vesicaria.		
B2	rocket	noun	A projectile.		
B2	rocket	noun	Rocket larkspur (Consolida regalis, syn. Delphinium consolida).		
B2	rocket	verb	(ambitransitive) To accelerate swiftly and powerfully.		
B2	rocket	verb	To experience sudden fame, popularity, or success.		
B2	rocket	verb	To fly vertically.		
B2	rocket	verb	To rise or soar rapidly.		
B2	rotten	adj	Bad or terrible.		
B2	rotten	adj	Cruel, mean or immoral.		
B2	rotten	adj	In a state of decay.		
B2	rotten	adj	Of perishable items, overridden with bacteria and other infectious agents.		
B2	rotten	adv	To an extreme degree.		
B2	salad	noun	(chiefly UK) Lettuce.		
B2	salad	noun	(idiomatic) Any varied blend or mixture.		
B2	salad	noun	A food made primarily of a mixture of raw or cold ingredients, typically vegetables, usually served with a dressing such as vinegar or mayonnaise.		
B2	salad	noun	A raw vegetable of the kind used in salads.		
B2	sample	noun	(business) A small piece of some goods, for determining quality, colour, etc., typically given away for free.		
B2	sample	noun	(cooking) A small quantity of food for tasting, typically given away for free.		
B2	sample	noun	(statistics) A subset or portion of a population that is systematically selected for measurement, observation, or questioning, with the objective of generating statistical information that accurately reflects the characteristics of the entire population.		
B2	sample	noun	A part or snippet of something taken or presented for inspection, or shown as evidence of the quality of the whole; a specimen.		
B2	sample	verb	(music, transitive) To reuse a portion of (an existing sound recording) in a new piece of music.		
B2	sample	verb	(transitive, computer graphics) To make or show something similar to a sample.		
B2	sample	verb	(transitive, signal processing) To reduce a continuous signal (such as a sound wave) to a discrete signal.		
B2	sample	verb	(transitive) To take or to test a sample or samples of.		
B2	scientific	adj	Related or connected to science:		
B2	session	noun	(beer) An extended period of drinking, typically consuming beer with low alcohol content.		
B2	session	noun	(Presbyterianism) The ruling body of a congregation, consisting of the pastor and elders.		
B2	session	noun	A period of time devoted to a particular activity.		
B2	session	noun	An official meeting or term of a council, court, or other body to conduct its business; e.g. the annual or semiannual periods of a legislature (that together comprise the legislative term), whose individual meetings are also called sessions.		
B2	session	verb	(music) To hold or participate in a jam session with other musicians.		
B2	shelter	noun	(countable) Somewhere one can find protection.		
B2	shelter	noun	(uncountable, abstract) The state of being protected or shielded.		
B2	shelter	noun	(uncountable) That which provides protection or cover.		
B2	shelter	verb	(intransitive) To take cover.	trú ẩn	ok
B2	shelter	verb	(transitive) To provide cover from damage or harassment; to shield; to protect.	che chở	ok
B2	signature	adj	Distinctive, characteristic, indicative of identity.		
B2	signature	noun	(cryptography) Data attached to a message that guarantees that the message originated from its claimed source.		
B2	signature	noun	(figurative) A mark or sign of implication.		
B2	signature	noun	A person's name, written by that person, used as identification or to signify approval of accompanying material, such as a legal contract.		
B2	signature	noun	An act of signing one's name; an act of producing a signature.		
B2	signature	verb	(ambitransitive) To sign with one's signature, to write one's signature on.		
B2	significant	adj	Large or important enough to have an effect or be worth noticing.	đáng kể, quan trọng	ok
B2	sink	noun	A basin used for holding water for washing.		
B2	sink	noun	A depression in land where water collects, with no visible outlet.		
B2	sink	noun	A drain for carrying off wastewater.		
B2	sink	noun	A heat sink.		
B2	sink	verb	(intransitive) To be overwhelmed or depressed; to fail in strength.		
B2	sink	verb	(intransitive) To decrease in volume, as a river; to subside; to become diminished in volume or in apparent height.		
B2	sink	verb	(transitive, slang) To drink (especially something alcoholic).		
B2	sink	verb	(transitive, slang) To pay absolutely.		
B2	slap	adj	(slang, UK) Very good, excellent, amazing.		
B2	slap	adv	Exactly, precisely		
B2	slap	noun	(countable, music) The percussive sound produced in slap bass playing.		
B2	slap	noun	(countable) A blow, especially one given with the open hand, or with something broad and flat.		
B2	slap	noun	(countable) A sharp percussive sound like that produced by such a blow.		
B2	slap	noun	(slang, uncountable) Makeup; cosmetics.		
B2	slap	verb	(intransitive) To strike soundly against something.		
B2	slap	verb	(transitive) To cause something to strike soundly.		
B2	slap	verb	(transitive) To place, to put carelessly.		
B2	slap	verb	(transitive) To strike someone, typically with an open hand, often on the face.		
B2	smooth	adj	Bland; glib.		
B2	smooth	adj	Flowing or uttered without check, obstruction, or hesitation; not harsh; fluent.		
B2	smooth	adj	Having a texture that lacks friction. Not rough.		
B2	smooth	adj	Without difficulty, problems, or unexpected consequences or incidents.		
B2	smooth	adv	Smoothly.		
B2	smooth	noun	A domestic animal having a smooth coat.		
B2	smooth	noun	A member of an anti-hippie fashion movement in 1970s Britain.		
B2	smooth	noun	A smoothing action.		
B2	smooth	noun	Something that is smooth, or that goes smoothly and easily.		
B2	smooth	verb	(transitive) To calm or palliate.		
B2	smooth	verb	(transitive) To make smooth or even.		
B2	smooth	verb	(transitive) To make straightforward or easy.		
B2	smooth	verb	(transitive) To reduce to a particular shape or form by pressure; to press, to flatten.		
B2	snap	adj	(informal, attributive) Done, made, performed, etc., quickly and unexpectedly, or without deliberation.		
B2	snap	noun	A quick breaking or cracking sound or the action of producing such a sound.		
B2	snap	noun	A sudden break.		
B2	snap	noun	An attempt to seize, bite, attack, or grab.		
B2	snap	noun	The act of snapping the fingers; making a sound by pressing a finger against the thumb and suddenly releasing to strike the hand.		
B2	snap	phrase	(British, Australia, by extension) "I've got one the same!", "Me too!"		
B2	snap	phrase	(British, by extension) Used to express agreement.		
B2	snap	phrase	(Canada, US) Used in place of an expletive to express surprise, usually in response to a negative statement or news; often used facetiously.		
B2	snap	phrase	The cry used in a game of snap when winning a hand.		
B2	snap	verb	(intransitive, transitive) To fracture or break apart suddenly.		
B2	snap	verb	(intransitive) To attempt to seize or bite with the teeth, beak, etc.		
B2	snap	verb	(intransitive) To attempt to seize with eagerness.		
B2	snap	verb	(intransitive) To give forth or produce a sharp cracking noise; to crack.		
B2	spin	noun	(autism, slang) A special interest of an autistic person.		
B2	spin	noun	(nautical) Clipping of spinnaker.		
B2	spin	noun	(quantum mechanics) A quantum angular momentum associated with subatomic particles, which also creates a magnetic moment.		
B2	spin	noun	A novel, creative variation of an existing thing or type; a twist.		
B2	spin	noun	A state of confusion or disorientation.		
B2	spin	noun	Rapid circular motion.		
B2	spin	verb	(ergative) To rotate, revolve, gyrate (usually quickly); to partially or completely rotate to face another direction.		
B2	spin	verb	(figurative) To present, describe, or interpret, or to introduce a bias or slant, so as to give something a favorable or advantageous appearance.		
B2	spin	verb	(transitive) To make yarn by twisting and winding fibers together.		
B2	spin	verb	To form (a web, a cocoon, silk, etc.) from threads produced by the extrusion of a viscid, transparent liquid, which hardens on coming into contact with the air; said of the spider, the silkworm, etc.		
B2	stable	adj	(commutative algebra, of a filtration (M_n) of a module M over a ring with respect to an ideal (here I but often a,m,p etc.) of that ring) Eventually satisfying the identity IM_n=M_n+1.		
B2	stable	adj	(computer science, of a sorting algorithm) That maintains the relative order of items that compare as equal.		
B2	stable	adj	(computing) Of software: established to be relatively free of bugs, as opposed to a beta version.		
B2	stable	adj	Relatively unchanging, steady, permanent; firmly fixed or established; consistent; not easily moved, altered, or destroyed.		
B2	stable	noun	(metonymic) All the racehorses of a particular stable, i.e. belonging to a given owner.		
B2	stable	noun	(professional wrestling) A group of wrestlers who support each other within a wrestling storyline.		
B2	stable	noun	(sumo) An organization of sumo wrestlers who live and train together.		
B2	stable	noun	A building, wing or dependency set apart and adapted for lodging and feeding (and training) ungulates, especially horses.		
B2	stable	verb	(intransitive) To dwell in a stable.		
B2	stable	verb	(rail transport, transitive) To park (a rail vehicle).		
B2	stable	verb	(transitive) To put or keep (an animal) in a stable.		
B2	stretch	noun	(idiomatic) A course of thought which diverts from straightforward logic, or requires extraordinary belief or exaggeration.		
B2	stretch	noun	A segment of a journey or route.		
B2	stretch	noun	An act of stretching.		
B2	stretch	noun	The ability to lengthen when pulled.		
B2	stretch	verb	(intransitive, transitive) To extend one’s limbs or another part of the body, for example in order to improve the elasticity of one's muscles.		
B2	stretch	verb	(intransitive) To lengthen when pulled.		
B2	stretch	verb	(transitive) To lengthen by pulling.	duỗi	chưa sát nghĩa, "duỗi" là duỗi thẳng tay chân, không phải "kéo dài bằng cách kéo căng" — nên là "kéo giãn, kéo dài"
B2	stretch	verb	(transitive) To pull tight.		
B2	strip	noun	(attributively, of games) Denotes a version of a game in which losing players must progressively remove their clothes.		
B2	strip	noun	(countable) A long, thin piece of land; any long, thin area.		
B2	strip	noun	(usually countable, sometimes uncountable) A long, thin piece of any material; any such material collectively.		
B2	strip	noun	A comic strip.		
B2	strip	noun	A landing strip.		
B2	strip	noun	The act of removing one's clothes; a striptease.		
B2	strip	verb	(intransitive) To perform a striptease.		
B2	strip	verb	(transitive) To remove or take away, often in strips or stripes.		
B2	strip	verb	(transitive) To take away something from (someone or something); to plunder; to divest.		
B2	strip	verb	(usually intransitive) To take off clothing.		
B2	stubborn	adj	Physically stiff and inflexible; not easily melted or worked.		
B2	stubborn	adj	Refusing to move or to change one's opinion; obstinate; firmly resisting; persistent in doing something.		
B2	stubborn	noun	(informal) Stubbornness.		
B2	stubborn	noun	Ellipsis of stubborn disease (“a disease of citrus trees”).		
B2	tattoo	noun	(military) A military display or pageant.		
B2	tattoo	noun	(military) A signal by drum or bugle ordering soldiers to return to their quarters.		
B2	tattoo	noun	(nautical) A signal played five minutes before taps (lights out).		
B2	tattoo	noun	A method of decorating a body part, usually the skin, by inserting colored substances under the surface with a sharp instrument (usually a solenoid-driven needle).		
B2	tattoo	noun	A pony of a certain breed from India.		
B2	tattoo	noun	A rhythmic tapping.		
B2	tattoo	noun	An image made on a body part, usually the skin with ink and a needle.		
B2	tattoo	verb	(baseball) To hit the ball hard, as if to figuratively leave a tattoo on the ball.		
B2	tattoo	verb	To apply a tattoo to (someone or something).		
B2	tattoo	verb	To tap rhythmically on, to drum.		
B2	territory	noun	(Australia) One of three of Australia's federal entities, located in the country's north and southeast, with fewer powers than a state and created by an act of Parliament rather than by the Constitution: Northern Territory, Australian Capital Territory and Jervis Bay Territory.		
B2	territory	noun	(Canada) One of three of Canada's federal entities, located in the country's Arctic, with fewer powers than a province and created by an act of Parliament rather than by the Constitution: Yukon, Northwest Territories, and Nunavut.		
B2	territory	noun	A geographic area under control of a single governing entity such as state or municipality; an area whose borders are determined by the scope of political power rather than solely by natural features such as rivers and ridges.		
B2	territory	noun	A large extent or tract of land; for example a region, country or district.		
B2	terrorist	adj	Of or relating to terrorism.	khủng bố	ok
B2	terrorist	noun	(historical) An agent or partisan of the revolutionary tribunal during the Reign of Terror in France.		
B2	terrorist	noun	(Internet slang, humorous) Deliberate misspelling of tourist.		
B2	terrorist	noun	A person, group, or organization that uses violent action, or the threat of violent action, to further political goals.		
B2	theatre	noun	(chiefly Australia, Canada, New Zealand, UK, Hong Kong) Alternative spelling of theater.		
B2	thirty	noun	(broadcasting) A commercial lasting 30 seconds.		
B2	thirty	noun	(slang) A rack of thirty beers.		
B2	thirty	noun	The cardinal number occurring after twenty-nine and before thirty-one, represented in Arabic numerals as 30.	ba mươi	ok
B2	thus	adv	(conjunctive) As a result.		
B2	thus	adv	(manner) In this way or manner.		
B2	thus	noun	Alternative form of thuris.		
B2	tradition	noun	A commonly held system.		
B2	tradition	noun	A part of culture that is passed from person to person or generation to generation, possibly differing in detail from family to family, such as the way to celebrate holidays.	sự truyền miệng	quá hẹp/sai nghĩa, "sự truyền miệng" chỉ là truyền khẩu, không bao quát khái niệm "truyền thống" nói chung — nên là "truyền thống"
B2	tradition	noun	An established or distinctive style or method:		
B2	tradition	noun	The act of delivering into the hands of another; delivery.		
B2	tragedy	noun	A disastrous event, especially one involving great loss of life or injury.		
B2	tragedy	noun	A drama or similar work, in which the main character is brought to ruin or otherwise suffers the extreme consequences of some tragic flaw or weakness of character.	bi kịch	ok
B2	tragedy	noun	The genre of such works, and the art of producing them.	bi kịch	ok
B2	trunk	noun	(in the plural) Ellipsis of swimming trunks.		
B2	trunk	noun	(software engineering) In software projects under source control: the most current source tree, from which the latest unstable builds (so-called "trunk builds") are compiled.		
B2	trunk	noun	A large pipe forming the piston rod of a steam engine, of sufficient diameter to allow one end of the connecting rod to be attached to the crank, and the other end to pass within the pipe directly to the piston, thus making the engine more compact.		
B2	trunk	noun	The main line or body of anything.		
B2	trunk	verb	(telecommunications) To provide simultaneous network access to multiple clients by sharing a set of circuits, carriers, channels, or frequencies.		
B2	trunk	verb	(transitive, mining) To extract (ores) from the slimes in which they are contained, by means of a trunk.		
B2	twelve	noun	(law, colloquial) A jury (normally composed of twelve persons).		
B2	twelve	noun	(slang) The police; law enforcement, especially a narcotics officer.		
B2	twelve	noun	A group of twelve items.		
B2	twelve	noun	A twelve-bore gun.		
B2	twelve	noun	The cardinal number occurring after eleven and before thirteen, represented in Arabic numerals as 12 and in Roman numerals as XII.	mười hai	ok
B2	uncomfortable	adj	Experiencing discomfort.		
B2	uncomfortable	adj	Not comfortable; causing discomfort.		
B2	uncomfortable	adj	Put off or disgusted.		
B2	uncomfortable	adj	Uneasy or anxious.		
B2	underwear	noun	(colloquial) Underpants (boxers, briefs, panties, etc) and often bras.		
B2	underwear	noun	Clothes worn next to the skin, underneath outer clothing.	quần áo lót	ok
B2	unlike	adj	Not like; dissimilar (to); having no resemblance; unalike.		
B2	unlike	adj	Unequal.		
B2	unlike	noun	(Internet) The act of withdrawing one's like from a post on social media.		
B2	unlike	noun	Something that is not like something else; something different.		
B2	unlike	prep	Different from; not in a like or similar manner.		
B2	unlike	prep	In contrast with; as opposed to.		
B2	unlike	prep	Not typical of one's character or personality.		
B2	unlike	verb	(social media) To cancel a "like" action.		
B2	unlike	verb	To dislike.		
B2	ward	noun	A person under guardianship.	trẻ tạm nuôi	
B2	ward	noun	A protected place, and by extension, a type of subdivision.		
B2	ward	noun	An object used for guarding.		
B2	ward	noun	Protection, defence.		
B2	ward	verb	(intransitive) To be vigilant; to keep guard.		
B2	ward	verb	(transitive) To defend, to protect.	bảo vệ	
B2	ward	verb	(transitive) To fend off, to repel, to turn aside, as anything mischievous that approaches. (usually followed by off)	tránh	
B2	ward	verb	(transitive) To keep in safety, to watch over, to guard.		
B2	wrap	noun	(Australia, informal) Alternative spelling of rap (“appraisal”).		
B2	wrap	noun	(entertainment) The completion of all or a major part of a performance.		
B2	wrap	noun	A loose piece of women's clothing that one wraps around the body; a shawl or scarf.		
B2	wrap	noun	A type of food consisting of various ingredients wrapped in a tortilla or pancake.		
B2	wrap	noun	Paper or sheeting that is wrapped around something to protect, contain, or conceal it.		
B2	wrap	verb	(transitive or intransitive, video production) To finish shooting (filming) a video, television show, or movie.		
B2	wrap	verb	(transitive, figurative) To conceal by enveloping or enfolding; to hide.		
B2	wrap	verb	(transitive) To enclose (an object) completely in any flexible, thin material such as fabric or paper.		
B2	wrap	verb	(transitive) To enclose or coil around an object or organism, as a form of grasping.		
B2	yell	adj	(Ulster) dry (of cow)		
B2	yell	noun	A phrase to be shouted.		
B2	yell	noun	A shout.		
B2	yell	verb	(informal, usually followed by at) To tell someone off, to scold or rebuke, typically in a loud and angry manner.		
B2	yell	verb	(intransitive) To shout; holler; make a loud sound with the voice, especially to express intense emotions such as anger or excitement.		
B2	yell	verb	(transitive) To convey by shouting.		
C1	acknowledge	verb	(transitive) To admit the knowledge of; to recognize as a fact or truth; to declare one's belief in.		
C1	acknowledge	verb	(transitive) To be grateful of (e.g. a benefit or a favour)		
C1	acknowledge	verb	(transitive) To own or recognize in a particular quality, character or relationship; to admit the claims or authority of; to give recognition to.		
C1	acknowledge	verb	(transitive) To report (the receipt of a message to its sender).		
C1	alongside	adv	Along the side; by the side; side by side; abreast.		
C1	alongside	prep	Side by side with.		
C1	alongside	prep	Together with or at the same time.		
C1	ammunition	noun	(figurative) Arguments and information that can be used against the other party in a conflict.		
C1	ammunition	noun	Articles used in charging firearms and ordnance of all kinds; as powder, balls, shot, shells, percussion caps, rockets, etc.	đạn dược	
C1	ammunition	verb	To supply with ammunition.		
C1	artistic	adj	Aesthetically pleasing.		
C1	artistic	adj	Having or revealing creative skill.		
C1	artistic	adj	Relating to or characteristic of art or artists.		
C1	artistic	adv	(nonstandard) Artistically, in an artistic style.		
C1	asset	noun	(espionage) An intelligence asset.		
C1	asset	noun	(slang, usually in the plural) A woman's breasts or buttocks or a man's genitalia.		
C1	asset	noun	(software) Any component, model, process or framework of value that can be leveraged or reused.		
C1	asset	noun	A thing or quality that has value, especially one that generates cash flows.		
C1	astronaut	noun	(Hong Kong) A person (typically man) working abroad away from their family.		
C1	astronaut	noun	A member of the crew of a spaceship or other spacecraft that travels beyond Earth's atmosphere, or someone trained to serve that purpose.		
C1	atomic	adj	(physics, chemistry) Of or relating to atoms; composed of atoms; monatomic.		
C1	atomic	adj	Employing or relating to nuclear energy or processes.		
C1	atomic	adj	Infinitesimally small.		
C1	atomic	adj	Unable to be split or made any smaller.		
C1	atomic	noun	(computing) An atomic operation.		
C1	attraction	noun	(chess) The sacrifice of pieces in order to expose the enemy king.		
C1	attraction	noun	(countable) An event, location, or business that has a tendency to draw interest from visitors, and in many cases, local residents.		
C1	attraction	noun	The feeling of being attracted (to something).		
C1	attraction	noun	The tendency to attract.		
C1	bandit	noun	(military, aviation) An aircraft identified as an enemy, but distinct from "hostile" or "threat" in that it is not immediately to be engaged.		
C1	bandit	noun	An outlaw.		
C1	bandit	noun	One who cheats others.		
C1	bandit	noun	One who robs others in a lawless area, especially as part of a group.	kẻ cướp	
C1	bandit	verb	(ambitransitive) To rob, or steal from, in the manner of a bandit.		
C1	battlefield	noun	The area where a land battle is fought, which may not necessarily be a field.	chiến trường	
C1	betrayal	noun	The act of betraying.		
C1	boil	noun	(US) A social event at which people gather to boil and eat food, especially seafood. (Compare a bake or clambake.)		
C1	boil	noun	A dish of boiled food, especially seafood.		
C1	boil	noun	A localized accumulation of pus in the skin, resulting from infection.	nhọt	
C1	boil	noun	An instance of boiling.		
C1	boil	noun	The point at which fluid begins to change to a vapour; the boiling point.		
C1	boil	verb	(ambitransitive) To cook in boiling water.	luộc	
C1	boil	verb	(intransitive, of liquids) To begin to turn into a gas, seethe.		
C1	boil	verb	(transitive, of liquids) To heat to the point where it begins to turn into a gas.		
C1	boil	verb	(transitive) To form, or separate, by boiling or evaporation.		
C1	caution	noun	(soccer) A yellow card.		
C1	caution	noun	A careful attention to the probable effects of an act, in order that failure or harm may be avoided.		
C1	caution	noun	Prudence when faced with, or when expecting to face, danger; care taken in order to avoid risk or harm.		
C1	caution	noun	Security; guaranty; bail.		
C1	caution	verb	(soccer) To give a yellow card.		
C1	caution	verb	(transitive) To warn; to alert, advise that caution is warranted.		
C1	chandler	noun	(historical) A servant in a large household responsible for providing candles.		
C1	chandler	noun	A dealer in (a specific kind of) provisions or supplies; especially a ship chandler.		
C1	chandler	noun	A person who makes or sells candles.		
C1	chow	noun	(mahjong) A call for forming such a run using a discarded tile.		
C1	chow	noun	(mahjong) A run of three consecutive tiles of the same suit.		
C1	chow	noun	(slang, uncountable) Food, especially snacks.		
C1	chow	noun	(Trinidad and Tobago) Unripe, or partially ripened, fruit seasoned and served as a dish, e.g. pineapple chow or mango chow.		
C1	chow	noun	A Chow Chow.		
C1	chow	noun	A prefecture or district of the second rank in China, or the chief city of such a district.		
C1	chow	verb	(mahjong) To call a discarded tile to produce a chow.		
C1	chow	verb	(slang, South Africa) To eat.		
C1	clap	noun	(slang, usually with "the") Synonym of gonorrhea.		
C1	clap	noun	A slap with the hand, usually in a jovial manner.		
C1	clap	noun	Any loud, sudden, explosive sound made by striking hard surfaces together, or resembling such a sound.		
C1	clap	noun	The act of striking the palms of the hands, or any two surfaces, together.		
C1	clap	noun	The explosive sound of thunder.		
C1	clap	verb	(ambitransitive) To bring two surfaces together forcefully, creating a sharp sound.		
